customer_id,full_name,email,phone,county_code,county_name,city,postal_code,crime_risk,hail_risk,flood_risk,wind_risk,fire_risk,dist_fire_station_km,dist_hydrant_km,dist_police_km,dist_coast_km,dist_danube_km,dob
C-000018,Aura Tomescu,faanei@example.org,0251 677 360,TM,Timis,Sannicolau Mare,778017,0.572,0.368,0.278,0.413,0.389,0.3,0.23,0.19,208.88,117.57,1955-01-29
C-000019,Alexandru Georgescu,bionescu@example.net,0734 872 343,SV,Suceava,Falticeni,273071,0.401,0.441,0.319,0.446,0.372,0.16,2.3,10.21,159.88,72.73,2005-09-25
C-000020,Salomea Ardelean,stanescumariana@example.net,0748 208 121,AR,Arad,Lipova,822790,0.347,0.361,0.281,0.411,0.369,0.26,3.06,3.29,174.38,117.6,1982-03-11
C-000021,Antoniu Diaconu,lflorea@example.net,0235 916 998,CJ,Cluj,Turda,904191,0.511,0.414,0.238,0.361,0.378,0.29,0.61,0.19,549.38,392.44,1964-08-20
C-000022,Lăcrămioara Tudor,georgiangeorgescu@example.com,0246 475 107,TM,Timis,Timisoara,390774,0.569,0.417,0.298,0.356,0.354,0.29,0.1,1.33,152.68,206.81,1983-11-02
C-000023,Cătălina Stan,predahoratiu@example.org,0763 135 427,GR,Giurgiu,Giurgiu,562800,0.391,0.336,0.48,0.403,0.337,0.19,2.1,11.5,250.75,13.85,1997-03-25
C-000024,Răducu Tomescu,qaanei@example.net,0268 124 118,VL,Valcea,Ramnicu Valcea,687327,0.42,0.429,0.39,0.328,0.401,0.3,5.58,7.47,129.45,298.51,1954-07-01
C-000025,Petruț Eftimie,eusebiuvoinea@example.net,0263 874 016,BH,Bihor,Alesd,942344,0.356,0.455,0.354,0.411,0.38,0.2,0.95,1.71,400.41,93.38,1996-12-14
C-000026,Adelina Marin,tomaharalambie@example.org,0733 786 801,MM,Maramures,Baia Mare,615186,0.322,0.554,0.378,0.463,0.424,0.49,1.59,0.94,422.09,184.89,1949-06-12
C-000027,Leordean Albu,vincentiudinu@example.com,0246 045 053,TR,Teleorman,Alexandria,704107,0.404,0.392,0.405,0.349,0.336,0.2,2.52,15.68,279.33,299.98,1987-09-04
C-000028,Tudosia Stancu,sandu23@example.org,0252 602 563,IF,Ilfov,Chitila,942525,0.515,0.348,0.337,0.43,0.373,0.12,4.68,5.75,385.89,283.86,1961-07-07
C-000029,Adelin Albu,mene@example.com,0763 433 036,AB,Alba,Alba Iulia,508885,0.357,0.516,0.321,0.418,0.4,0.12,3.73,4.37,135.34,399.67,1965-05-21
C-000030,Olimpia Mazilescu,rnistor@example.net,0761 014 294,PH,Prahova,Ploiesti,685111,0.439,0.448,0.258,0.323,0.335,0.74,0.89,1.7,82.82,49.11,1947-02-12
C-000031,Teodora Manole,plesu81@example.com,0743 340 608,MS,Mures,Reghin,821332,0.323,0.552,0.26,0.436,0.451,0.76,6.96,6.56,342.36,305.72,2003-01-06
C-000032,Vicenția Niță,tudorgianina@example.net,0786 148 465,NT,Neamt,Piatra Neamt,866017,0.336,0.535,0.34,0.419,0.452,0.35,0.55,2.19,539.76,292.54,1970-01-21
C-000033,Manole Dima,nistormitica@example.net,0732 299 468,BR,Braila,Braila,329033,0.351,0.317,0.543,0.395,0.38,0.48,4.01,5.01,443.88,16.58,1997-03-25
C-000034,Paula Eftimie,nicodim95@example.com,0749 738 721,BZB,Bucuresti,Sector 4,976064,0.604,0.326,0.219,0.347,0.31,0.06,1.04,1.49,294.14,181.25,1962-08-01
C-000035,Crenguța Florea,dochiadumitrescu@example.org,0233 037 917,CL,Calarasi,Calarasi,233131,0.411,0.331,0.409,0.39,0.347,0.15,3.96,5.31,244.43,19.9,1970-10-25
C-000036,Adonis Popescu,marioara20@example.org,0772 328 708,IF,Ilfov,Voluntari,602484,0.465,0.363,0.335,0.376,0.375,0.31,2.77,3.07,515.44,212.83,1960-05-28
C-000037,David Dima,htudor@example.net,0711 579 868,BN,Bistrita-Nasaud,Nasaud,538803,0.131,0.331,0.152,0.21,0.214,0.19,0.24,18.0,392.44,74.28,1972-10-18
C-000038,Emanuil Oprea,zarazaflorea@example.net,0265 873 471,DJ,Dolj,Craiova,229652,0.483,0.402,0.406,0.354,0.37,0.3,3.19,13.48,165.15,91.39,1989-08-28
C-000039,Nora Marin,valtercristea@example.org,0249 362 316,TL,Tulcea,Babadag,552611,0.459,0.254,0.689,0.688,0.312,0.2,7.5,8.81,5.37,5.34,1970-05-20
C-000040,Basarab Ardelean,nistornarcis@example.net,0738 096 705,BZB,Bucuresti,Sector 3,750918,0.583,0.299,0.211,0.349,0.359,0.09,0.1,1.41,428.51,312.27,1963-07-09
C-000041,Benone Stan,osuciu@example.com,0258 467 065,AG,Arges,Campulung,578212,0.384,0.405,0.357,0.414,0.373,0.32,2.69,3.16,257.11,214.56,1986-11-04
C-000042,Gianina Pop,tabacutudor@example.org,0768 990 162,IF,Ilfov,Chitila,107692,0.419,0.339,0.394,0.39,0.316,0.18,2.51,11.19,391.21,32.71,1999-04-26
C-000043,Aura Georgescu,sofia37@example.com,0762 646 417,CJ,Cluj,Turda,986288,0.53,0.442,0.315,0.389,0.372,0.3,0.39,1.94,308.85,234.65,1945-12-05
C-000044,Tinca Ene,tomescuamanda@example.org,0261 309 232,PH,Prahova,Sinaia,673307,0.57,0.458,0.281,0.375,0.403,0.18,0.15,0.76,321.79,391.83,1974-07-16
C-000045,Mădălin Eftimie,xgeorgescu@example.com,0251 991 241,GL,Galati,Galati,500025,0.462,0.328,0.508,0.464,0.423,0.06,0.32,2.21,450.89,19.57,1981-02-28
C-000046,Nechifor Voinea,andrei31@example.net,0739 314 919,VS,Vaslui,Husi,310287,0.456,0.409,0.324,0.345,0.389,0.05,3.7,10.52,545.73,278.5,1994-01-04
C-000047,Iustin Niță,bartolomeupreda@example.net,0762 067 165,CJ,Cluj,Dej,504074,0.553,0.406,0.304,0.352,0.385,0.2,0.43,1.77,453.17,328.75,1984-09-29
C-000048,Floriana Niță,puscasuiacob@example.net,0747 776 945,BZB,Bucuresti,Sector 3,870105,0.634,0.316,0.2,0.358,0.402,1.48,0.57,3.76,270.0,54.85,1998-05-12
C-000049,Olimpia Oprea,popmitica@example.com,0233 752 735,BZ,Buzau,Ramnicul Sarat,898654,0.342,0.394,0.39,0.357,0.366,0.16,1.1,6.48,249.18,366.35,1994-12-20
C-000050,Olivia Suciu,olgaaanei@example.net,0254 136 783,IF,Ilfov,Chitila,369725,0.51,0.36,0.366,0.352,0.323,0.09,7.5,9.83,307.96,206.22,1988-03-18
C-000051,Cristea Ababei,ionescudimitrina@example.com,0739 349 578,BZB,Bucuresti,Sector 2,254076,0.71,0.356,0.252,0.38,0.317,0.07,0.34,1.47,98.64,385.12,1978-02-25
C-000052,Lucențiu Marin,pompiliugheorghiu@example.com,0262 313 518,BH,Bihor,Alesd,811139,0.345,0.37,0.283,0.395,0.352,0.06,0.92,16.24,187.65,141.77,2004-08-10
C-000053,Ivona Eftimie,ugheorghiu@example.net,0780 894 134,GL,Galati,Galati,199984,0.414,0.319,0.442,0.471,0.319,0.21,0.4,4.96,215.38,8.74,1959-01-14
C-000054,Rodica Aanei,rdima@example.org,0236 842 710,CJ,Cluj,Turda,534366,0.497,0.448,0.253,0.356,0.423,0.71,0.69,1.74,557.79,33.43,1980-11-14
C-000055,Eric Oprea,eftimieardelean@example.com,0754 116 719,BZ,Buzau,Buzau,307642,0.344,0.353,0.389,0.346,0.383,3.24,3.19,18.0,481.93,346.53,1984-05-11
C-000056,Florentina Dinu,fionita@example.org,0245 869 993,CJ,Cluj,Turda,760724,0.563,0.419,0.284,0.43,0.359,0.19,0.79,2.7,245.17,58.9,1993-07-28
C-000057,Cristofor Oprea,rafilanita@example.com,0742 909 133,AR,Arad,Lipova,371349,0.382,0.342,0.292,0.427,0.372,0.14,3.66,7.08,440.41,93.99,1961-05-18
C-000058,Frusina Florea,stancubebe@example.org,021 679 7403,IS,Iasi,Pascani,449357,0.631,0.319,0.278,0.43,0.385,1.02,0.52,0.44,106.27,249.99,1962-11-09
C-000059,Dan Barbu,georgescueric@example.com,0244 832 421,CT,Constanta,Constanta,862651,0.42,0.275,0.535,0.617,0.322,0.07,1.18,9.48,22.05,14.61,1948-06-18
C-000060,Pamfil Stoica,loreleidiaconu@example.com,0739 464 887,SV,Suceava,Radauti,422587,0.42,0.488,0.368,0.37,0.454,0.69,1.53,4.7,157.67,385.77,1972-04-13
C-000061,Cedrin Manole,bgeorgescu@example.org,0259 990 490,BR,Braila,Braila,568206,0.364,0.388,0.534,0.365,0.347,0.6,3.0,6.27,460.19,19.79,1992-10-12
C-000062,Edmond Pușcașu,lgheorghiu@example.net,0771 717 565,MM,Maramures,Baia Mare,194153,0.364,0.61,0.381,0.374,0.387,0.13,2.1,7.23,541.54,176.01,1964-12-06
C-000063,Georgeta Marin,gabriel46@example.net,0234 715 451,CT,Constanta,Mangalia,647866,0.41,0.243,0.644,0.678,0.347,0.1,3.0,7.09,20.85,9.15,2005-10-28
C-000064,Horia Aanei,apop@example.org,0254 859 770,BZB,Bucuresti,Sector 5,319236,0.594,0.35,0.251,0.327,0.319,0.12,0.36,1.13,330.38,384.95,1957-07-12
C-000065,Paulica Oprea,bdiaconu@example.net,0727 324 808,PH,Prahova,Sinaia,545955,0.442,0.37,0.282,0.378,0.417,0.09,0.96,0.4,151.65,142.65,1970-05-29
C-000066,Doina Pop,tomescucerasela@example.com,0736 484 677,IF,Ilfov,Otopeni,187280,0.524,0.362,0.354,0.337,0.324,0.1,6.77,2.77,273.05,179.8,1960-01-23
C-000067,Adi Dumitrescu,vpreda@example.org,0238 465 840,SV,Suceava,Suceava,795116,0.334,0.566,0.325,0.485,0.367,0.08,4.13,3.69,522.69,353.59,1962-07-11
C-000068,Norman Stănescu,cdinu@example.net,0754 558 867,CV,Covasna,Targu Secuiesc,577764,0.277,0.554,0.314,0.509,0.502,0.68,2.49,5.96,305.97,78.75,2003-06-22
C-000069,Mariana Stoica,marcela60@example.com,0732 766 270,BT,Botosani,Botosani,957023,0.398,0.511,0.337,0.407,0.365,0.14,6.26,8.46,396.23,202.06,1952-08-28
C-000070,Dana Oprea,puscasuluminita@example.org,0735 262 174,GL,Galati,Tecuci,578696,0.385,0.43,0.548,0.456,0.371,0.16,4.41,3.32,493.12,15.95,1966-01-13
C-000071,Valter Cristea,tudornemes@example.com,0726 780 913,SV,Suceava,Falticeni,814271,0.335,0.564,0.36,0.451,0.354,2.35,1.34,7.23,408.79,175.38,1984-06-20
C-000072,Luiza Cristea,daiana17@example.org,0739 400 504,BZB,Bucuresti,Sector 4,387240,0.721,0.321,0.236,0.36,0.347,0.97,0.11,1.97,100.93,196.36,1967-04-16
C-000073,Fiona Florea,knistor@example.net,0253 221 969,BZB,Bucuresti,Sector 5,774656,0.775,0.328,0.236,0.329,0.397,0.22,1.2,1.52,344.65,365.62,1987-09-28
C-000074,Niculiță Dinu,popgratian@example.com,0262 074 821,GR,Giurgiu,Giurgiu,844509,0.444,0.333,0.486,0.417,0.311,0.24,2.02,9.75,182.86,19.68,1972-07-14
C-000075,Norman Ioniță,melania74@example.org,0785 713 695,VL,Valcea,Ramnicu Valcea,352484,0.356,0.446,0.333,0.326,0.334,0.2,3.86,11.8,575.52,255.72,1980-12-01
C-000076,Ana Tudor,octavia09@example.net,0732 097 439,CJ,Cluj,Cluj-Napoca,590026,0.519,0.402,0.314,0.364,0.396,0.13,0.5,0.73,524.07,149.22,1995-03-24
C-000077,Ștefan Dumitrescu,rgeorgescu@example.net,0788 210 470,IF,Ilfov,Voluntari,959006,0.474,0.364,0.333,0.346,0.393,0.36,4.26,5.76,329.92,198.89,1981-03-20
C-000078,Corina Ionescu,normandochioiu@example.org,0246 858 842,CJ,Cluj,Dej,357770,0.522,0.398,0.255,0.385,0.365,1.27,1.08,1.11,494.71,340.49,1960-11-22
C-000079,Raluca Marin,popanisoara@example.org,0731 368 516,BV,Brasov,Brasov,951310,0.325,0.531,0.338,0.546,0.408,0.1,7.5,6.06,220.73,357.39,1945-08-01
C-000080,Daniel Mocanu,profiranemes@example.net,0766 137 098,PH,Prahova,Ploiesti,319290,0.442,0.44,0.271,0.342,0.381,0.39,0.57,2.66,458.48,391.37,1965-05-15
C-000081,Valentin Barbu,pionita@example.com,0244 200 471,CT,Constanta,Mangalia,391371,0.395,0.244,0.541,0.631,0.335,0.39,1.25,13.98,24.24,12.79,1950-10-30
C-000082,Aleodor Pop,valternistor@example.net,0732 261 796,BZB,Bucuresti,Sector 5,352514,0.603,0.362,0.198,0.314,0.354,0.05,0.5,0.97,419.17,334.56,2003-11-12
C-000083,Anemona Mocanu,opreapetrica@example.org,0765 158 506,BV,Brasov,Brasov,139104,0.268,0.665,0.384,0.481,0.493,0.48,7.5,7.24,470.14,201.93,1962-02-01
C-000084,Daniel Cristea,tomescualexandru@example.org,0761 329 318,DJ,Dolj,Craiova,403522,0.389,0.319,0.403,0.332,0.307,0.13,6.68,15.28,419.84,196.03,1957-10-03
C-000085,Mara Marin,suciuadam@example.com,0248 284 210,GL,Galati,Galati,525839,0.473,0.429,0.556,0.386,0.344,0.32,0.45,2.77,449.48,1.64,1953-01-03
C-000086,Maria Stănescu,aleodordochioiu@example.com,0236 268 117,AG,Arges,Campulung,193433,0.412,0.398,0.348,0.366,0.404,0.15,3.34,10.07,373.33,280.36,1972-12-11
C-000087,Horea Stănescu,opreamelina@example.org,0725 084 700,BC,Bacau,Moinesti,855850,0.383,0.365,0.447,0.418,0.361,0.28,6.57,13.07,384.6,102.33,2007-08-13
C-000088,Cantemir Voinea,popescuvaleria@example.com,0239 159 212,PH,Prahova,Sinaia,170014,0.457,0.352,0.274,0.342,0.339,0.34,0.28,0.54,217.7,255.88,1962-01-12
C-000089,Adam Suciu,dionescu@example.net,0727 611 836,CS,Caras-Severin,Resita,513848,0.167,0.339,0.154,0.198,0.199,0.07,7.5,18.0,598.27,46.34,1973-02-25
C-000090,Barbu Marin,anistor@example.net,0242 565 452,GL,Galati,Tecuci,821208,0.403,0.425,0.512,0.464,0.338,0.12,3.16,3.02,246.96,5.64,1987-12-22
C-000091,Carolina Cristea,cristealioara@example.org,0732 528 098,BH,Bihor,Salonta,820606,0.444,0.411,0.311,0.389,0.343,0.19,0.25,0.98,375.33,200.87,1980-02-03
C-000092,Aurică Mazilescu,aurelia49@example.com,0764 198 327,PH,Prahova,Campina,375115,0.508,0.378,0.286,0.337,0.329,0.39,0.54,0.81,213.86,335.91,1958-10-31
C-000093,Tinca Stancu,codringheorghiu@example.net,0258 689 980,BZB,Bucuresti,Sector 1,193529,0.695,0.341,0.195,0.397,0.339,0.24,0.51,3.33,93.8,305.08,1983-01-26
C-000094,Anda Dochioiu,tincutaionita@example.com,0763 022 961,VL,Valcea,Dragasani,892526,0.385,0.421,0.319,0.38,0.356,0.37,5.76,4.52,338.23,228.5,1953-08-23
C-000095,Cornelia Pușcașu,nemesoctavian@example.com,0762 254 599,BZB,Bucuresti,Sector 6,621648,0.769,0.36,0.204,0.36,0.39,0.23,0.78,0.95,395.75,187.24,1950-01-21
C-000096,Francesca Dobre,rardelean@example.org,0264 767 976,DJ,Dolj,Craiova,735490,0.414,0.31,0.408,0.413,0.327,0.14,2.4,1.11,164.96,277.28,1961-11-30
C-000097,Teodora Niță,ionescustefana@example.net,0745 784 036,DJ,Dolj,Craiova,502603,0.44,0.302,0.371,0.378,0.32,0.18,0.22,14.36,500.66,390.53,2006-09-22
C-000098,Aglaia Eftimie,denisadima@example.com,0267 510 762,BC,Bacau,Bacau,427994,0.47,0.445,0.416,0.391,0.392,1.02,0.92,9.34,236.92,364.11,1952-11-04
C-000099,Ghenadie Stancu,basarabnistor@example.net,0235 607 159,AG,Arges,Pitesti,943251,0.452,0.44,0.332,0.325,0.413,0.13,1.75,5.48,112.82,388.44,1971-10-01
C-000100,Theodor Nistor,betinanistor@example.org,0760 297 516,CT,Constanta,Constanta,214746,0.363,0.234,0.712,0.527,0.389,0.73,5.78,0.9,24.08,14.1,1997-11-27
C-000101,Codin Stănescu,ion16@example.com,0732 535 218,IF,Ilfov,Chitila,876293,0.532,0.4,0.372,0.373,0.345,0.18,3.18,2.06,311.96,374.35,1984-08-06
C-000102,Timea Mazilescu,floreacatalin@example.org,0262 329 212,MS,Mures,Sighisoara,445188,0.301,0.449,0.274,0.457,0.366,1.03,0.53,5.1,112.93,102.2,2004-08-20
C-000103,Dorinel Stoica,roprea@example.net,0722 955 271,MM,Maramures,Sighetu Marmatiei,876713,0.365,0.556,0.363,0.387,0.463,0.21,7.5,2.8,307.68,379.91,1974-03-31
C-000104,Octavia Stănescu,mazilescumilena@example.org,0269 770 054,DJ,Dolj,Bailesti,256778,0.46,0.354,0.339,0.355,0.366,0.25,6.18,13.03,177.71,69.71,1949-07-16
C-000105,Remus Suciu,dnemes@example.net,0740 079 359,IS,Iasi,Pascani,561337,0.553,0.376,0.319,0.431,0.373,0.2,0.65,3.01,106.43,393.11,1974-09-02
C-000106,Camelia Oprea,marinvanesa@example.org,0757 203 778,HD,Hunedoara,Hunedoara,772849,0.364,0.546,0.282,0.466,0.444,0.27,2.62,7.6,424.52,278.59,1977-08-21
C-000107,Vicenția Mocanu,jananistor@example.com,0729 905 151,BZB,Bucuresti,Sector 5,540867,0.649,0.318,0.246,0.351,0.375,0.09,0.1,2.51,468.58,361.03,1979-11-09
C-000108,Pamela Georgescu,vdinu@example.org,0744 254 629,CJ,Cluj,Turda,395256,0.442,0.483,0.246,0.341,0.352,0.14,0.64,0.58,328.77,84.55,1989-05-12
C-000109,Ruxandra Stancu,titus52@example.net,0738 816 850,CJ,Cluj,Turda,480527,0.471,0.377,0.279,0.398,0.327,0.25,0.17,0.39,205.19,163.5,1967-07-20
C-000110,Lili Marin,odumitrescu@example.org,0249 141 888,BR,Braila,Braila,533010,0.396,0.339,0.438,0.43,0.33,0.06,3.1,14.56,202.72,19.32,1947-01-31
C-000111,Romulus Dima,jnemes@example.org,0253 927 065,BZB,Bucuresti,Sector 3,548138,0.704,0.361,0.259,0.362,0.391,1.46,0.35,2.62,328.14,212.9,1987-04-26
C-000112,Costache Tabacu,zenobiaoprea@example.org,0747 347 359,GL,Galati,Galati,611350,0.432,0.413,0.441,0.39,0.408,2.76,1.06,5.44,288.86,7.43,2006-09-21
C-000113,Otilia Nemeș,apuscasu@example.org,0255 924 075,MS,Mures,Sighisoara,944923,0.334,0.509,0.282,0.36,0.363,0.07,1.61,1.33,179.8,94.92,1979-08-22
C-000114,Iancu Diaconu,anutadobre@example.com,0750 826 137,TM,Timis,Sannicolau Mare,338240,0.59,0.357,0.29,0.438,0.322,0.1,0.17,1.96,211.58,317.04,2000-06-08
C-000115,Bartolomeu Ardelean,gheorghita53@example.com,0240 530 515,TR,Teleorman,Turnu Magurele,440485,0.468,0.32,0.319,0.383,0.402,0.06,7.45,11.21,285.52,306.42,1994-07-24
C-000116,Antoaneta Ionescu,wdima@example.net,0753 790 104,DJ,Dolj,Craiova,269952,0.386,0.341,0.373,0.416,0.365,0.29,4.06,9.29,207.86,300.03,1958-04-17
C-000117,Lorin Suciu,hnita@example.com,0260 410 369,SV,Suceava,Radauti,188009,0.363,0.455,0.332,0.429,0.39,0.74,2.37,9.04,212.46,79.96,1973-07-03
C-000118,Georgian Suciu,oababei@example.net,0743 324 609,BZB,Bucuresti,Sector 4,461842,0.619,0.359,0.218,0.301,0.315,0.32,0.86,1.35,521.16,114.23,1966-12-07
C-000119,Iris Tudor,puscasuioanina@example.org,0748 888 806,AG,Arges,Curtea de Arges,880680,0.377,0.414,0.404,0.333,0.407,0.34,0.28,7.05,467.28,333.59,1999-09-22
C-000120,Șerban Nemeș,giorgianababei@example.com,0238 531 952,SV,Suceava,Falticeni,359069,0.325,0.461,0.367,0.434,0.427,0.49,1.42,18.0,432.55,223.54,1947-07-02
C-000121,Titus Dochioiu,opopa@example.org,0247 170 430,BZ,Buzau,Buzau,815708,0.455,0.427,0.422,0.429,0.358,0.14,1.41,7.01,489.65,171.63,1994-07-18
C-000122,Saveta Ioniță,inistor@example.com,0262 034 505,BZB,Bucuresti,Sector 3,895175,0.635,0.351,0.214,0.361,0.367,0.34,0.4,0.46,337.71,50.43,1961-12-01
C-000123,Codrin Nistor,vnemes@example.org,0756 758 416,DB,Dambovita,Gaesti,878589,0.344,0.388,0.425,0.324,0.403,0.1,0.55,8.22,356.27,318.33,1949-09-05
C-000124,Leordean Ionescu,catalincristea@example.com,0720 447 962,CJ,Cluj,Dej,307671,0.429,0.483,0.292,0.39,0.402,0.17,1.66,1.42,541.79,330.35,1988-02-28
C-000125,Crin Albu,panaitgheorghiu@example.net,0237 165 820,DB,Dambovita,Gaesti,620747,0.357,0.457,0.42,0.422,0.356,0.12,0.59,1.29,594.71,57.4,1953-09-13
C-000126,Angela Dima,floreasilvia@example.com,0765 690 927,BT,Botosani,Dorohoi,844528,0.41,0.487,0.39,0.446,0.417,0.22,0.5,14.76,168.25,324.73,2004-06-24
C-000127,Costache Barbu,hdima@example.com,0768 543 102,CJ,Cluj,Turda,238178,0.462,0.469,0.261,0.396,0.415,0.11,0.63,2.17,553.09,139.16,1976-02-23
C-000128,Maxim Diaconu,elodiaoprea@example.org,0725 473 121,MM,Maramures,Baia Mare,360850,0.33,0.57,0.362,0.441,0.378,0.19,1.28,2.14,292.7,62.08,1973-03-08
C-000129,Constantina Voinea,ludovicbarbu@example.net,0746 442 258,CL,Calarasi,Calarasi,496865,0.429,0.322,0.522,0.405,0.377,0.34,7.5,9.11,354.9,15.45,1958-10-31
C-000130,Eva Florea,xababei@example.net,0743 578 291,SV,Suceava,Suceava,164665,0.368,0.497,0.413,0.432,0.413,0.32,0.38,15.86,80.3,189.82,1948-11-05
C-000131,Eric Pușcașu,aurelian91@example.org,0786 177 852,TR,Teleorman,Turnu Magurele,760119,0.365,0.357,0.336,0.425,0.315,0.31,4.28,4.67,199.95,365.14,2000-01-06
C-000132,Eliza Niță,hardelean@example.net,0249 422 535,IS,Iasi,Iasi,780483,0.608,0.431,0.298,0.351,0.347,0.11,0.34,2.23,412.29,348.19,2004-05-24
C-000133,Cipriana Georgescu,tomavincentiu@example.com,0246 498 182,BZB,Bucuresti,Sector 2,283474,0.681,0.357,0.212,0.344,0.401,0.96,0.52,1.58,342.86,265.57,1981-12-27
C-000134,Heracleea Tudor,vsuciu@example.net,0235 010 943,GL,Galati,Tecuci,774255,0.404,0.356,0.444,0.385,0.414,0.14,0.82,12.22,421.05,7.6,1993-01-08
C-000135,Romulus Toma,popescusalomea@example.net,0267 473 647,BC,Bacau,Bacau,149441,0.461,0.343,0.442,0.359,0.413,0.39,0.86,15.96,85.73,96.08,1949-04-21
C-000136,Gabriela Oprea,fabian73@example.com,0727 255 562,BZB,Bucuresti,Sector 3,594543,0.604,0.296,0.236,0.374,0.36,0.44,0.1,3.68,196.7,47.01,1992-08-16
C-000137,Semenica Florea,rdiaconu@example.com,0261 210 469,DB,Dambovita,Targoviste,740267,0.342,0.393,0.391,0.387,0.406,5.61,4.64,3.05,207.69,45.74,1971-01-18
C-000138,Sofia Stoica,emanuildobre@example.com,0758 774 701,CL,Calarasi,Oltenita,509404,0.39,0.316,0.521,0.451,0.319,0.12,2.58,1.85,476.77,24.28,2004-04-02
C-000139,Marilena Eftimie,dmazilescu@example.org,0266 797 480,BZB,Bucuresti,Sector 2,973638,0.685,0.284,0.249,0.362,0.362,0.2,1.01,0.28,459.49,344.12,1998-01-28
C-000140,Erica Georgescu,nicolaiemocanu@example.org,0769 098 358,IL,Ialomita,Fetesti,558846,0.401,0.399,0.401,0.36,0.316,0.09,1.96,18.0,526.97,169.93,1962-11-20
C-000141,Gică Oprea,ngheorghiu@example.net,0725 121 655,VL,Valcea,Dragasani,317529,0.399,0.479,0.348,0.37,0.43,0.22,0.25,2.61,327.16,308.9,1979-11-06
C-000142,Felicia Dumitrescu,zpreda@example.net,0235 002 578,CT,Constanta,Mangalia,401541,0.441,0.252,0.689,0.59,0.398,1.07,1.6,3.62,5.43,17.5,1973-06-30
C-000143,Sofia Tabacu,dorelnistor@example.net,0733 495 888,AG,Arges,Campulung,357934,0.357,0.393,0.365,0.377,0.35,0.11,7.5,13.27,87.16,121.87,1975-07-26
